When,Type,Alberta,BritishColumbia,Canada,Manitoba,NewBrunswick,NewfoundlandAndLabrador,NovaScotia,Ontario,PrinceEdwardIsland,Quebec,Saskatchewan
09/01/1972,Total,1513,2563,20905,546,586,143,285,10223,121,4640,285
10/01/1972,All Others,509,,,,,,,,,,
10/01/1972,Single Detached,707,,,,,,,,,,
10/01/1972,Total,1216,2541,22592,751,553,140,314,10046,31,6750,250
11/01/1972,Total,1360,2546,18976,1098,333,75,453,7436,32,5357,286
11/01/1972,All Others,488,,,,,,,,,,
11/01/1972,Single Detached,872,,,,,,,,,,
12/01/1972,All Others,266,,,,,,,,,,
12/01/1972,Total,921,2705,14011,337,188,58,239,5263,27,4019,254
12/01/1972,Single Detached,655,,,,,,,,,,
01/01/1973,Total,1071,1147,11187,225,119,84,306,5186,16,2893,140
01/01/1973,All Others,384,,,,,,,,,,
01/01/1973,Single Detached,687,,,,,,,,,,
02/01/1973,All Others,263,,,,,,,,,,
02/01/1973,Total,793,1322,8880,191,68,25,637,3676,0,1877,291
02/01/1973,Single Detached,530,,,,,,,,,,
03/01/1973,Total,1339,1536,13300,621,59,55,184,5903,9,3324,270
03/01/1973,All Others,499,,,,,,,,,,
03/01/1973,Single Detached,840,,,,,,,,,,
04/01/1973,Single Detached,1078,,,,,,,,,,
04/01/1973,All Others,527,,,,,,,,,,
04/01/1973,Total,1605,2843,18456,971,165,258,878,7519,7,3876,334
05/01/1973,All Others,481,,,,,,,,,,
05/01/1973,Single Detached,1101,,,,,,,,,,
05/01/1973,Total,1582,3090,19453,566,420,210,419,8418,49,4161,538
06/01/1973,Total,1849,2568,20946,1333,486,208,619,9337,37,4250,259
06/01/1973,Single Detached,1135,,,,,,,,,,
06/01/1973,All Others,714,,,,,,,,,,
07/01/1973,Single Detached,811,,,,,,,,,,
07/01/1973,All Others,691,,,,,,,,,,
07/01/1973,Total,1502,2892,22417,1366,534,219,119,11666,26,3606,487
08/01/1973,Single Detached,826,,,,,,,,,,
08/01/1973,Total,1598,3200,19622,398,705,266,724,8333,62,3993,343
08/01/1973,All Others,772,,,,,,,,,,
09/01/1973,All Others,629,,,,,,,,,,
09/01/1973,Total,1418,2291,19879,1096,465,428,492,9112,20,4188,369
09/01/1973,Single Detached,789,,,,,,,,,,
10/01/1973,All Others,528,,,,,,,,,,
10/01/1973,Total,1586,1814,22069,759,365,181,430,8851,7,7696,380
10/01/1973,Single Detached,1058,,,,,,,,,,
11/01/1973,All Others,515,,,,,,,,,,
11/01/1973,Single Detached,973,,,,,,,,,,
11/01/1973,Total,1488,2079,18079,572,408,172,323,7727,36,4892,382
12/01/1973,Total,1206,3908,17255,340,159,84,394,6483,26,4413,242
12/01/1973,All Others,326,,,,,,,,,,
12/01/1973,Single Detached,880,,,,,,,,,,
01/01/1974,Single Detached,755,,,,,,,,,,
01/01/1974,All Others,419,,,,,,,,,,
01/01/1974,Total,1174,1295,13506,701,114,59,489,6212,17,3122,323
02/01/1974,Single Detached,750,,,,,,,,,,
02/01/1974,All Others,294,,,,,,,,,,
02/01/1974,Total,1044,1585,9029,347,18,125,162,3495,0,2022,231
03/01/1974,Single Detached,1034,,,,,,,,,,
03/01/1974,Total,1213,2348,13291,552,54,65,122,5844,1,2868,224
03/01/1974,All Others,179,,,,,,,,,,
04/01/1974,All Others,400,,,,,,,,,,
04/01/1974,Total,1648,2643,15782,534,91,151,238,7226,97,2990,164
04/01/1974,Single Detached,1248,,,,,,,,,,
05/01/1974,Total,1365,3313,19880,637,352,347,287,7462,32,5772,313
05/01/1974,All Others,317,,,,,,,,,,
05/01/1974,Single Detached,1048,,,,,,,,,,
06/01/1974,Total,1904,2353,19528,1021,356,319,389,9568,28,3111,479
06/01/1974,All Others,581,,,,,,,,,,
06/01/1974,Single Detached,1323,,,,,,,,,,
07/01/1974,All Others,239,,,,,,,,,,
07/01/1974,Total,1165,2173,16095,590,540,262,660,6473,21,3638,573
07/01/1974,Single Detached,926,,,,,,,,,,
08/01/1974,Single Detached,561,,,,,,,,,,
08/01/1974,Total,674,1446,14857,632,664,336,300,6731,11,3659,404
08/01/1974,All Others,113,,,,,,,,,,
09/01/1974,All Others,502,,,,,,,,,,
09/01/1974,Total,1046,2100,13628,299,225,137,346,5245,12,3704,514
09/01/1974,Single Detached,544,,,,,,,,,,
10/01/1974,Total,850,2093,12994,256,178,176,618,5235,7,2992,589
10/01/1974,Single Detached,628,,,,,,,,,,
10/01/1974,All Others,222,,,,,,,,,,
11/01/1974,Single Detached,733,,,,,,,,,,
11/01/1974,Total,1314,935,11489,391,458,153,314,4188,14,3211,511
11/01/1974,All Others,581,,,,,,,,,,
12/01/1974,Single Detached,512,,,,,,,,,,
12/01/1974,All Others,292,,,,,,,,,,
12/01/1974,Total,804,1331,9358,168,143,122,356,3840,4,2285,305
01/01/1975,All Others,182,,,,,,,,,,
01/01/1975,Single Detached,505,,,,,,,,,,
01/01/1975,Total,687,1352,7133,249,53,134,154,2653,17,1652,182
02/01/1975,Single Detached,354,,,,,,,,,,
02/01/1975,Total,671,930,4973,118,17,28,87,1656,0,1369,97
02/01/1975,All Others,317,,,,,,,,,,
03/01/1975,Total,813,1168,6261,78,64,73,230,2260,0,1453,122
03/01/1975,Single Detached,571,,,,,,,,,,
03/01/1975,All Others,242,,,,,,,,,,
04/01/1975,All Others,275,,,,,,,,,,
04/01/1975,Single Detached,810,,,,,,,,,,
04/01/1975,Total,1085,1955,11929,303,217,90,375,4900,20,2703,281
05/01/1975,Total,1304,1695,17187,661,385,293,226,7354,11,4733,525
05/01/1975,All Others,253,,,,,,,,,,
05/01/1975,Single Detached,1051,,,,,,,,,,
06/01/1975,All Others,444,,,,,,,,,,
06/01/1975,Total,1688,2441,17311,518,626,386,384,6589,34,4090,555
06/01/1975,Single Detached,1244,,,,,,,,,,
07/01/1975,Total,1599,3398,18784,431,521,361,755,6774,23,3784,1138
07/01/1975,All Others,570,,,,,,,,,,
07/01/1975,Single Detached,1029,,,,,,,,,,
08/01/1975,Single Detached,1006,,,,,,,,,,
08/01/1975,All Others,652,,,,,,,,,,
08/01/1975,Total,1658,2453,17530,747,499,408,228,5873,32,4764,868
09/01/1975,All Others,1157,,,,,,,,,,
09/01/1975,Total,2435,2781,18864,557,400,246,481,6488,109,4429,938
09/01/1975,Single Detached,1278,,,,,,,,,,
10/01/1975,All Others,1068,,,,,,,,,,
10/01/1975,Single Detached,1185,,,,,,,,,,
10/01/1975,Total,2253,2631,23181,1069,716,209,332,9139,40,5667,1125
11/01/1975,Single Detached,1422,,,,,,,,,,
11/01/1975,Total,2638,2498,18935,578,357,235,390,7489,15,3668,1067
11/01/1975,All Others,1216,,,,,,,,,,
12/01/1975,Total,2762,3267,19758,604,390,382,709,6469,6,4829,340
12/01/1975,Single Detached,1088,,,,,,,,,,
12/01/1975,All Others,1674,,,,,,,,,,
01/01/1976,Total,1376,1780,12450,354,158,47,382,3931,4,4056,362
01/01/1976,All Others,551,,,,,,,,,,
01/01/1976,Single Detached,825,,,,,,,,,,
02/01/1976,Total,2516,1747,11615,596,22,57,641,3313,3,2222,498
02/01/1976,All Others,1640,,,,,,,,,,
02/01/1976,Single Detached,876,,,,,,,,,,
03/01/1976,Total,1755,1860,12734,508,195,12,138,5010,2,2840,414
03/01/1976,Single Detached,1173,,,,,,,,,,
03/01/1976,All Others,582,,,,,,,,,,
04/01/1976,Single Detached,1077,,,,,,,,,,
04/01/1976,All Others,1839,,,,,,,,,,
04/01/1976,Total,2916,2260,16213,630,366,107,286,5817,8,3455,368
05/01/1976,All Others,1178,,,,,,,,,,
05/01/1976,Single Detached,1121,,,,,,,,,,
05/01/1976,Total,2299,3145,22799,559,651,118,294,7587,41,7456,649
06/01/1976,Total,2102,3243,23301,863,552,206,769,8128,22,6729,687
06/01/1976,Single Detached,1004,,,,,,,,,,
06/01/1976,All Others,1098,,,,,,,,,,
07/01/1976,Total,2894,2552,20630,950,498,425,341,6116,24,5624,1206
07/01/1976,All Others,1812,,,,,,,,,,
07/01/1976,Single Detached,1082,,,,,,,,,,
08/01/1976,Single Detached,942,,,,,,,,,,
08/01/1976,All Others,1572,,,,,,,,,,
08/01/1976,Total,2514,1954,16288,285,417,185,292,6468,13,3385,775
09/01/1976,Single Detached,978,,,,,,,,,,
09/01/1976,All Others,1425,,,,,,,,,,
09/01/1976,Total,2403,2805,18849,900,372,336,918,5648,22,4773,672
10/01/1976,All Others,1631,,,,,,,,,,
10/01/1976,Total,2518,2869,16471,488,287,390,254,6107,12,2584,962
10/01/1976,Single Detached,887,,,,,,,,,,
11/01/1976,Total,2813,2524,20754,828,244,94,225,6683,4,5758,1581
11/01/1976,All Others,2102,,,,,,,,,,
11/01/1976,Single Detached,711,,,,,,,,,,
12/01/1976,Total,2007,2836,17658,515,168,59,204,6493,17,4609,750
12/01/1976,All Others,1296,,,,,,,,,,
12/01/1976,Single Detached,711,,,,,,,,,,
01/01/1977,All Others,382,,,,,,,,,,
01/01/1977,Single Detached,512,,,,,,,,,,
01/01/1977,Total,894,2493,11516,476,33,45,196,3182,6,3733,458
02/01/1977,All Others,983,,,,,,,,,,
02/01/1977,Single Detached,332,,,,,,,,,,
02/01/1977,Total,1315,1639,9086,223,32,31,200,2463,2,2896,285
03/01/1977,Single Detached,563,,,,,,,,,,
03/01/1977,All Others,699,,,,,,,,,,
03/01/1977,Total,1262,1223,9640,1052,40,74,97,2761,1,2544,586
04/01/1977,Single Detached,778,,,,,,,,,,
04/01/1977,All Others,1882,,,,,,,,,,
04/01/1977,Total,2660,2288,14994,420,165,33,371,4760,2,3366,929
05/01/1977,Total,2945,2759,20606,529,214,82,329,6705,22,6211,810
05/01/1977,Single Detached,948,,,,,,,,,,
05/01/1977,All Others,1997,,,,,,,,,,
06/01/1977,All Others,1396,,,,,,,,,,
06/01/1977,Single Detached,1127,,,,,,,,,,
06/01/1977,Total,2523,2602,21377,638,312,83,275,9028,31,5307,578
07/01/1977,All Others,1726,,,,,,,,,,
07/01/1977,Single Detached,971,,,,,,,,,,
07/01/1977,Total,2697,2099,20010,1041,334,364,238,7747,49,5042,399
08/01/1977,All Others,2475,,,,,,,,,,
08/01/1977,Single Detached,1022,,,,,,,,,,
08/01/1977,Total,3497,1964,18641,644,221,104,833,7207,21,3410,740
09/01/1977,Total,3263,2556,18702,678,324,101,503,6263,40,4151,823
09/01/1977,Single Detached,781,,,,,,,,,,
09/01/1977,All Others,2482,,,,,,,,,,
10/01/1977,Single Detached,991,,,,,,,,,,
10/01/1977,All Others,1237,,,,,,,,,,
10/01/1977,Total,2228,2060,17122,341,211,94,590,6974,14,3556,1054
11/01/1977,Single Detached,1069,,,,,,,,,,
11/01/1977,Total,3377,2614,18022,562,130,210,383,5826,9,3959,952
11/01/1977,All Others,2308,,,,,,,,,,
12/01/1977,All Others,2659,,,,,,,,,,
12/01/1977,Total,3348,2005,20485,779,163,212,1345,7315,135,3471,1712
12/01/1977,Single Detached,689,,,,,,,,,,
01/01/1978,Total,3265,2031,14958,1557,47,57,251,3881,9,2807,1053
01/01/1978,Single Detached,729,,,,,,,,,,
01/01/1978,All Others,2536,,,,,,,,,,
02/01/1978,Single Detached,865,,,,,,,,,,
02/01/1978,Total,3333,1919,11761,930,50,30,205,2674,0,2372,248
02/01/1978,All Others,2468,,,,,,,,,,
03/01/1978,All Others,2447,,,,,,,,,,
03/01/1978,Single Detached,922,,,,,,,,,,
03/01/1978,Total,3369,1918,13781,1127,54,19,204,3535,0,3069,486
04/01/1978,All Others,1041,,,,,,,,,,
04/01/1978,Single Detached,1133,,,,,,,,,,
04/01/1978,Total,2174,1551,12617,993,92,18,143,4166,3,3072,405
05/01/1978,Single Detached,1413,,,,,,,,,,
05/01/1978,Total,2473,1848,16441,830,166,111,425,5016,18,4772,782
05/01/1978,All Others,1060,,,,,,,,,,
06/01/1978,All Others,1937,,,,,,,,,,
06/01/1978,Total,3089,1477,16214,1031,229,135,274,5794,20,3714,451
06/01/1978,Single Detached,1152,,,,,,,,,,
07/01/1978,Single Detached,1585,,,,,,,,,,
07/01/1978,Total,3631,1352,16388,570,252,111,256,6309,17,3341,549
07/01/1978,All Others,2046,,,,,,,,,,
08/01/1978,Single Detached,1295,,,,,,,,,,
08/01/1978,Total,2959,1750,16480,1003,222,111,388,7283,16,2388,360
08/01/1978,All Others,1664,,,,,,,,,,
09/01/1978,Total,3332,1379,14481,335,223,231,225,5987,18,2428,323
09/01/1978,All Others,2257,,,,,,,,,,
09/01/1978,Single Detached,1075,,,,,,,,,,
10/01/1978,All Others,1796,,,,,,,,,,
10/01/1978,Total,3057,1274,15373,644,290,117,221,6101,29,2973,667
10/01/1978,Single Detached,1261,,,,,,,,,,
11/01/1978,All Others,3209,,,,,,,,,,
11/01/1978,Single Detached,1294,,,,,,,,,,
11/01/1978,Total,4503,1420,18150,578,215,69,418,7010,31,3329,577
12/01/1978,All Others,1667,,,,,,,,,,
12/01/1978,Total,2345,1657,12034,636,247,26,160,4169,7,2361,426
12/01/1978,Single Detached,678,,,,,,,,,,
01/01/1979,Single Detached,903,,,,,,,,,,
01/01/1979,All Others,2446,,,,,,,,,,
01/01/1979,Total,3349,1957,11533,792,74,9,112,2516,26,2252,446
02/01/1979,Single Detached,668,,,,,,,,,,
02/01/1979,All Others,1394,,,,,,,,,,
02/01/1979,Total,2062,876,6503,163,22,9,99,1362,19,1421,470
03/01/1979,Total,2417,1097,8134,190,33,36,300,1849,98,1182,932
03/01/1979,All Others,1593,,,,,,,,,,
03/01/1979,Single Detached,824,,,,,,,,,,
04/01/1979,All Others,1075,,,,,,,,,,
04/01/1979,Total,2157,1425,11057,623,48,36,144,3100,1,3342,181
04/01/1979,Single Detached,1082,,,,,,,,,,
05/01/1979,Single Detached,1207,,,,,,,,,,
05/01/1979,Total,2741,1963,15737,364,150,165,308,4795,7,4271,973
05/01/1979,All Others,1534,,,,,,,,,,
06/01/1979,Total,2621,1560,14352,267,218,115,250,4210,13,4160,938
06/01/1979,Single Detached,1442,,,,,,,,,,
06/01/1979,All Others,1179,,,,,,,,,,
07/01/1979,Total,2332,1676,12884,806,212,119,314,4344,27,2643,411
07/01/1979,Single Detached,1263,,,,,,,,,,
07/01/1979,All Others,1069,,,,,,,,,,
08/01/1979,Total,2697,2477,14909,237,123,131,266,5630,36,2853,459
08/01/1979,All Others,1422,,,,,,,,,,
08/01/1979,Single Detached,1275,,,,,,,,,,
09/01/1979,All Others,701,,,,,,,,,,
09/01/1979,Total,1949,1920,12742,491,207,111,215,4345,12,2585,907
09/01/1979,Single Detached,1248,,,,,,,,,,
10/01/1979,All Others,1602,,,,,,,,,,
10/01/1979,Single Detached,1227,,,,,,,,,,
10/01/1979,Total,2829,2081,15414,238,233,32,239,5431,48,3401,882
11/01/1979,Single Detached,1235,,,,,,,,,,
11/01/1979,All Others,1534,,,,,,,,,,
11/01/1979,Total,2769,2301,15264,136,86,172,242,4931,3,3292,1332
12/01/1979,All Others,1459,,,,,,,,,,
12/01/1979,Single Detached,778,,,,,,,,,,
12/01/1979,Total,2237,1933,13188,87,68,129,301,5246,11,2625,551
01/01/1980,All Others,973,,,,,,,,,,
01/01/1980,Total,1536,2993,10489,136,23,73,68,3943,0,1540,177
01/01/1980,Single Detached,563,,,,,,,,,,
02/01/1980,Total,1436,2140,6445,33,15,56,126,1485,72,844,238
02/01/1980,All Others,858,,,,,,,,,,
02/01/1980,Single Detached,578,,,,,,,,,,
03/01/1980,All Others,693,,,,,,,,,,
03/01/1980,Single Detached,717,,,,,,,,,,
03/01/1980,Total,1410,2001,6153,9,21,43,188,1400,0,975,106
04/01/1980,All Others,1019,,,,,,,,,,
04/01/1980,Single Detached,893,,,,,,,,,,
04/01/1980,Total,1912,2440,9475,189,10,115,37,2470,0,1844,458
05/01/1980,Single Detached,891,,,,,,,,,,
05/01/1980,Total,1904,2144,9777,336,37,253,142,2532,1,1972,456
05/01/1980,All Others,1013,,,,,,,,,,
06/01/1980,Single Detached,888,,,,,,,,,,
06/01/1980,Total,1970,2514,11406,85,107,168,139,3627,0,2613,183
06/01/1980,All Others,1082,,,,,,,,,,
07/01/1980,All Others,1457,,,,,,,,,,
07/01/1980,Total,2788,2068,11117,149,112,421,141,3385,3,1736,314
07/01/1980,Single Detached,1331,,,,,,,,,,
08/01/1980,Total,2399,3141,10964,139,128,156,209,2243,0,1941,608
08/01/1980,Single Detached,1138,,,,,,,,,,
08/01/1980,All Others,1261,,,,,,,,,,
09/01/1980,Single Detached,1269,,,,,,,,,,
09/01/1980,All Others,1684,,,,,,,,,,
09/01/1980,Total,2953,2194,11852,182,112,147,160,3259,9,2514,322
10/01/1980,Total,2359,3511,14224,148,103,106,175,5155,4,2238,425
10/01/1980,All Others,1049,,,,,,,,,,
10/01/1980,Single Detached,1310,,,,,,,,,,
11/01/1980,All Others,1218,,,,,,,,,,
11/01/1980,Single Detached,1594,,,,,,,,,,
11/01/1980,Total,2812,2942,12809,260,47,175,429,3230,3,2497,414
12/01/1980,Single Detached,864,,,,,,,,,,
12/01/1980,Total,2251,2249,10302,57,61,62,248,2703,4,2350,317
12/01/1980,All Others,1387,,,,,,,,,,
01/01/1981,Total,2193,2428,8194,70,62,34,98,1854,0,1094,361
01/01/1981,Single Detached,993,,,,,,,,,,
01/01/1981,All Others,1200,,,,,,,,,,
02/01/1981,All Others,560,,,,,,,,,,
02/01/1981,Total,1454,2464,6603,193,53,40,148,1071,1,1005,174
02/01/1981,Single Detached,894,,,,,,,,,,
03/01/1981,Single Detached,1061,,,,,,,,,,
03/01/1981,All Others,706,,,,,,,,,,
03/01/1981,Total,1767,2335,7741,117,29,45,58,1856,2,1215,317
04/01/1981,All Others,1356,,,,,,,,,,
04/01/1981,Total,3017,2152,14854,315,49,146,139,5404,3,3016,613
04/01/1981,Single Detached,1661,,,,,,,,,,
05/01/1981,Total,3873,2861,16985,375,118,174,173,5010,5,3865,531
05/01/1981,All Others,1970,,,,,,,,,,
05/01/1981,Single Detached,1903,,,,,,,,,,
06/01/1981,All Others,1823,,,,,,,,,,
06/01/1981,Single Detached,1488,,,,,,,,,,
06/01/1981,Total,3311,3581,16470,325,49,89,225,5639,4,2719,528
07/01/1981,All Others,1367,,,,,,,,,,
07/01/1981,Single Detached,1509,,,,,,,,,,
07/01/1981,Total,2876,2265,13161,312,40,191,302,4859,0,2117,199
08/01/1981,Total,2672,3545,13256,128,18,380,181,4463,1,1571,297
08/01/1981,All Others,1638,,,,,,,,,,
08/01/1981,Single Detached,1034,,,,,,,,,,
09/01/1981,Single Detached,1409,,,,,,,,,,
09/01/1981,All Others,1964,,,,,,,,,,
09/01/1981,Total,3373,2762,13272,123,74,105,177,4496,1,1995,166
10/01/1981,Total,2290,1742,8271,74,36,38,259,2177,1,1346,308
10/01/1981,Single Detached,827,,,,,,,,,,
10/01/1981,All Others,1463,,,,,,,,,,
11/01/1981,All Others,1936,,,,,,,,,,
11/01/1981,Total,2736,1837,9535,153,30,163,160,2508,1,1445,502
11/01/1981,Single Detached,800,,,,,,,,,,
12/01/1981,All Others,3198,,,,,,,,,,
12/01/1981,Single Detached,412,,,,,,,,,,
12/01/1981,Total,3610,2020,14099,6,28,99,130,6062,0,1733,411
01/01/1982,Total,2203,2440,10399,41,14,124,186,3198,2,1131,1060
01/01/1982,All Others,1754,,,,,,,,,,
01/01/1982,Single Detached,449,,,,,,,,,,
02/01/1982,All Others,1037,,,,,,,,,,
02/01/1982,Single Detached,369,,,,,,,,,,
02/01/1982,Total,1406,2876,8413,41,7,19,161,2297,3,1280,323
03/01/1982,All Others,795,,,,,,,,,,
03/01/1982,Total,1236,1779,7454,70,58,30,57,2746,1,1190,287
03/01/1982,Single Detached,441,,,,,,,,,,
04/01/1982,All Others,1775,,,,,,,,,,
04/01/1982,Total,2430,1851,9061,399,45,49,185,2154,0,1204,744
04/01/1982,Single Detached,655,,,,,,,,,,
05/01/1982,Total,1960,1130,8290,82,49,47,139,2913,1,1637,332
05/01/1982,Single Detached,766,,,,,,,,,,
05/01/1982,All Others,1194,,,,,,,,,,
06/01/1982,All Others,3231,,,,,,,,,,
06/01/1982,Single Detached,697,,,,,,,,,,
06/01/1982,Total,3928,968,9288,155,66,82,218,2105,12,1426,328
07/01/1982,Total,2531,1089,8065,61,95,69,225,2087,3,1112,793
07/01/1982,Single Detached,382,,,,,,,,,,
07/01/1982,All Others,2149,,,,,,,,,,
08/01/1982,All Others,537,,,,,,,,,,
08/01/1982,Single Detached,518,,,,,,,,,,
08/01/1982,Total,1055,696,6672,63,121,73,219,3400,9,804,232
09/01/1982,Single Detached,308,,,,,,,,,,
09/01/1982,All Others,937,,,,,,,,,,
09/01/1982,Total,1245,871,6345,56,113,73,186,2113,4,1272,412
10/01/1982,All Others,678,,,,,,,,,,
10/01/1982,Single Detached,669,,,,,,,,,,
10/01/1982,Total,1347,858,9099,193,120,187,226,3298,51,2371,448
11/01/1982,Total,1567,1044,11208,358,75,115,243,4816,5,2385,600
11/01/1982,Single Detached,441,,,,,,,,,,
11/01/1982,All Others,1126,,,,,,,,,,
12/01/1982,Single Detached,638,,,,,,,,,,
12/01/1982,Total,860,1251,10498,115,19,65,434,4047,11,3224,472
12/01/1982,All Others,222,,,,,,,,,,
01/01/1983,Single Detached,658,,,,,,,,,,
01/01/1983,All Others,667,,,,,,,,,,
01/01/1983,Total,1325,984,8514,126,54,42,224,3431,10,1957,361
02/01/1983,Total,1346,783,6661,277,40,33,178,2363,5,1164,472
02/01/1983,All Others,763,,,,,,,,,,
02/01/1983,Single Detached,583,,,,,,,,,,
03/01/1983,All Others,419,,,,,,,,,,
03/01/1983,Single Detached,489,,,,,,,,,,
03/01/1983,Total,908,1339,8403,462,123,250,143,3158,0,1227,793
04/01/1983,Total,1205,2093,12413,549,350,184,219,3867,23,2717,1206
04/01/1983,All Others,289,,,,,,,,,,
04/01/1983,Single Detached,916,,,,,,,,,,
