When,Type,Alberta,BritishColumbia,Canada,Manitoba,NewBrunswick,NewfoundlandAndLabrador,NovaScotia,Ontario,PrinceEdwardIsland,Quebec,Saskatchewan
02/01/1994,Total,927,2823,6537,121,33,15,50,1858,0,686,24
02/01/1994,Single Detached,607,,,,,,,,,,
03/01/1994,All Others,155,,,,,,,,,,
03/01/1994,Single Detached,614,,,,,,,,,,
03/01/1994,Total,769,2982,7591,87,29,6,111,1868,6,1671,62
04/01/1994,All Others,229,,,,,,,,,,
04/01/1994,Single Detached,1178,,,,,,,,,,
04/01/1994,Total,1407,2706,12602,126,150,85,157,3912,61,3877,121
05/01/1994,Total,1346,2998,14896,216,223,239,319,4393,60,4926,176
05/01/1994,All Others,183,,,,,,,,,,
05/01/1994,Single Detached,1163,,,,,,,,,,
06/01/1994,Single Detached,1076,,,,,,,,,,
06/01/1994,Total,1590,3759,14714,263,404,244,483,4208,59,3577,127
06/01/1994,All Others,514,,,,,,,,,,
07/01/1994,Single Detached,1003,,,,,,,,,,
07/01/1994,Total,1421,3181,13322,238,262,106,437,4835,55,2662,125
07/01/1994,All Others,418,,,,,,,,,,
08/01/1994,Total,1183,3051,10941,143,196,197,378,3985,35,1677,96
08/01/1994,Single Detached,740,,,,,,,,,,
08/01/1994,All Others,443,,,,,,,,,,
09/01/1994,All Others,416,,,,,,,,,,
09/01/1994,Single Detached,716,,,,,,,,,,
09/01/1994,Total,1132,2930,11074,148,189,158,430,4322,72,1538,155
10/01/1994,Single Detached,696,,,,,,,,,,
10/01/1994,Total,1230,2787,10978,129,178,140,232,4308,36,1682,256
10/01/1994,All Others,534,,,,,,,,,,
11/01/1994,Total,992,3288,10330,96,71,143,346,3578,32,1668,116
11/01/1994,Single Detached,671,,,,,,,,,,
11/01/1994,All Others,321,,,,,,,,,,
12/01/1994,Total,929,2229,7768,39,53,81,262,2245,13,1854,63
12/01/1994,Single Detached,546,,,,,,,,,,
12/01/1994,All Others,383,,,,,,,,,,
01/01/1995,All Others,176,,,,,,,,,,
01/01/1995,Single Detached,515,,,,,,,,,,
01/01/1995,Total,691,2595,6656,60,21,28,118,1898,7,1207,31
02/01/1995,Single Detached,429,,,,,,,,,,
02/01/1995,Total,858,1837,5403,47,14,14,96,1812,2,674,49
02/01/1995,All Others,429,,,,,,,,,,
03/01/1995,Single Detached,400,,,,,,,,,,
03/01/1995,All Others,100,,,,,,,,,,
03/01/1995,Total,500,1273,4816,53,17,20,86,1996,0,813,58
04/01/1995,Total,947,2124,8750,73,60,9,202,2798,24,2427,86
04/01/1995,All Others,256,,,,,,,,,,
04/01/1995,Single Detached,691,,,,,,,,,,
05/01/1995,All Others,120,,,,,,,,,,
05/01/1995,Total,739,1907,8490,126,226,52,360,2432,38,2424,186
05/01/1995,Single Detached,619,,,,,,,,,,
06/01/1995,All Others,151,,,,,,,,,,
06/01/1995,Total,906,2282,9410,182,174,151,447,3263,18,1823,164
06/01/1995,Single Detached,755,,,,,,,,,,
07/01/1995,Single Detached,665,,,,,,,,,,
07/01/1995,All Others,523,,,,,,,,,,
07/01/1995,Total,1188,2064,8065,242,184,134,281,2537,21,1282,132
08/01/1995,Total,1049,2096,7802,113,196,184,224,2910,29,833,168
08/01/1995,All Others,359,,,,,,,,,,
08/01/1995,Single Detached,690,,,,,,,,,,
09/01/1995,Total,848,2231,8049,84,181,123,234,3248,34,947,119
09/01/1995,All Others,130,,,,,,,,,,
09/01/1995,Single Detached,718,,,,,,,,,,
10/01/1995,Single Detached,719,,,,,,,,,,
10/01/1995,All Others,492,,,,,,,,,,
10/01/1995,Total,1211,1540,7295,103,208,109,213,2640,27,1102,142
11/01/1995,All Others,183,,,,,,,,,,
11/01/1995,Total,809,1895,7693,77,77,103,207,3403,43,999,80
11/01/1995,Single Detached,626,,,,,,,,,,
12/01/1995,All Others,197,,,,,,,,,,
12/01/1995,Total,795,1760,7097,55,66,59,227,2956,2,1107,70
12/01/1995,Single Detached,598,,,,,,,,,,
01/01/1996,Single Detached,428,,,,,,,,,,
01/01/1996,All Others,64,,,,,,,,,,
01/01/1996,Total,492,1213,4211,15,24,30,84,1813,4,482,54
02/01/1996,Total,514,1593,4369,83,9,10,64,1529,8,505,54
02/01/1996,Single Detached,390,,,,,,,,,,
02/01/1996,All Others,124,,,,,,,,,,
03/01/1996,Single Detached,555,,,,,,,,,,
03/01/1996,All Others,222,,,,,,,,,,
03/01/1996,Total,777,1644,5281,45,27,40,82,1610,22,906,128
04/01/1996,All Others,95,,,,,,,,,,
04/01/1996,Total,865,1765,7662,71,188,61,286,2538,33,1691,164
04/01/1996,Single Detached,770,,,,,,,,,,
05/01/1996,Single Detached,1093,,,,,,,,,,
05/01/1996,Total,1306,2342,11650,103,206,171,316,4175,57,2758,216
05/01/1996,All Others,213,,,,,,,,,,
06/01/1996,All Others,212,,,,,,,,,,
06/01/1996,Total,1428,2820,11894,250,197,123,330,4142,89,2273,242
06/01/1996,Single Detached,1216,,,,,,,,,,
07/01/1996,Total,1204,2950,10509,165,200,138,280,4101,40,1264,167
07/01/1996,All Others,112,,,,,,,,,,
07/01/1996,Single Detached,1092,,,,,,,,,,
08/01/1996,Total,1410,2374,9550,89,208,106,316,3725,26,991,305
08/01/1996,All Others,352,,,,,,,,,,
08/01/1996,Single Detached,1058,,,,,,,,,,
09/01/1996,All Others,251,,,,,,,,,,
09/01/1996,Single Detached,933,,,,,,,,,,
09/01/1996,Total,1184,2421,9993,98,166,111,288,4411,29,1056,229
10/01/1996,Single Detached,793,,,,,,,,,,
10/01/1996,All Others,251,,,,,,,,,,
10/01/1996,Total,1044,1521,8247,107,134,162,196,3714,30,1225,114
11/01/1996,Single Detached,898,,,,,,,,,,
11/01/1996,All Others,337,,,,,,,,,,
11/01/1996,Total,1235,2222,9974,156,155,140,294,4072,17,1535,148
12/01/1996,All Others,257,,,,,,,,,,
12/01/1996,Total,1016,1879,8464,61,97,146,270,3682,17,1223,73
12/01/1996,Single Detached,759,,,,,,,,,,
01/01/1997,All Others,169,,,,,,,,,,
01/01/1997,Single Detached,788,,,,,,,,,,
01/01/1997,Total,957,1195,6258,106,39,81,332,2601,2,887,58
02/01/1997,All Others,306,,,,,,,,,,
02/01/1997,Single Detached,1009,,,,,,,,,,
02/01/1997,Total,1315,1726,6563,99,17,31,134,2472,1,670,98
03/01/1997,Total,1372,1518,7141,88,19,16,238,2457,6,1342,85
03/01/1997,All Others,328,,,,,,,,,,
03/01/1997,Single Detached,1044,,,,,,,,,,
04/01/1997,Single Detached,1261,,,,,,,,,,
04/01/1997,All Others,335,,,,,,,,,,
04/01/1997,Total,1596,1815,11026,166,196,33,155,4569,12,2268,216
05/01/1997,Single Detached,1386,,,,,,,,,,
05/01/1997,All Others,387,,,,,,,,,,
05/01/1997,Total,1773,2839,13868,174,162,130,147,5055,56,3282,250
06/01/1997,All Others,418,,,,,,,,,,
06/01/1997,Total,1787,2703,12434,153,236,126,292,4327,50,2575,185
06/01/1997,Single Detached,1369,,,,,,,,,,
07/01/1997,All Others,378,,,,,,,,,,
07/01/1997,Single Detached,1380,,,,,,,,,,
07/01/1997,Total,1758,2493,12152,210,206,109,330,4923,48,1834,241
08/01/1997,Total,1642,2363,11416,136,161,122,317,5258,22,1196,199
08/01/1997,Single Detached,1310,,,,,,,,,,
08/01/1997,All Others,332,,,,,,,,,,
09/01/1997,Single Detached,1191,,,,,,,,,,
09/01/1997,All Others,325,,,,,,,,,,
09/01/1997,Total,1516,2270,11019,191,211,143,187,4934,16,1322,229
10/01/1997,Total,1757,2267,10930,169,145,133,166,4858,34,1258,143
10/01/1997,Single Detached,1148,,,,,,,,,,
10/01/1997,All Others,609,,,,,,,,,,
11/01/1997,Total,1901,2120,10769,95,173,133,199,4486,27,1468,167
11/01/1997,Single Detached,1335,,,,,,,,,,
11/01/1997,All Others,566,,,,,,,,,,
12/01/1997,Single Detached,1166,,,,,,,,,,
12/01/1997,Total,1564,1901,9645,77,62,87,235,4032,13,1532,142
12/01/1997,All Others,398,,,,,,,,,,
01/01/1998,Single Detached,979,,,,,,,,,,
01/01/1998,All Others,432,,,,,,,,,,
01/01/1998,Total,1411,1182,6435,64,7,52,77,2903,2,687,50
02/01/1998,Single Detached,1128,,,,,,,,,,
02/01/1998,All Others,570,,,,,,,,,,
02/01/1998,Total,1698,1557,6907,76,10,11,110,2723,3,584,135
03/01/1998,Total,1339,1328,7947,85,18,32,65,3704,14,1215,147
03/01/1998,All Others,203,,,,,,,,,,
03/01/1998,Single Detached,1136,,,,,,,,,,
04/01/1998,All Others,433,,,,,,,,,,
04/01/1998,Single Detached,1515,,,,,,,,,,
04/01/1998,Total,1948,1551,11500,278,72,43,79,4699,22,2506,302
05/01/1998,Total,2328,1645,12750,286,211,113,97,4840,37,2970,223
05/01/1998,All Others,661,,,,,,,,,,
05/01/1998,Single Detached,1667,,,,,,,,,,
06/01/1998,Single Detached,1545,,,,,,,,,,
06/01/1998,All Others,375,,,,,,,,,,
06/01/1998,Total,1920,1761,11175,233,223,80,219,4243,52,2241,203
07/01/1998,Single Detached,1437,,,,,,,,,,
07/01/1998,All Others,646,,,,,,,,,,
07/01/1998,Total,2083,1851,9920,203,296,77,224,3562,35,1333,256
08/01/1998,All Others,332,,,,,,,,,,
08/01/1998,Single Detached,1484,,,,,,,,,,
08/01/1998,Total,1816,1807,10729,136,228,163,400,4729,50,1205,195
09/01/1998,Total,1725,1633,10410,195,124,136,342,4792,21,1199,243
09/01/1998,Single Detached,1308,,,,,,,,,,
09/01/1998,All Others,417,,,,,,,,,,
10/01/1998,Single Detached,1184,,,,,,,,,,
10/01/1998,Total,1863,1228,10279,114,176,114,327,4981,29,1330,117
10/01/1998,All Others,679,,,,,,,,,,
11/01/1998,Single Detached,1254,,,,,,,,,,
11/01/1998,Total,1657,1033,9496,108,141,58,148,4530,22,1630,169
11/01/1998,All Others,403,,,,,,,,,,
12/01/1998,Single Detached,989,,,,,,,,,,
12/01/1998,Total,1937,1055,9245,78,109,52,83,4382,5,1443,101
12/01/1998,All Others,948,,,,,,,,,,
01/01/1999,Single Detached,746,,,,,,,,,,
01/01/1999,All Others,535,,,,,,,,,,
01/01/1999,Total,1281,650,6534,192,24,26,145,3147,25,976,68
02/01/1999,All Others,820,,,,,,,,,,
02/01/1999,Total,1524,783,6675,71,22,8,161,3315,5,727,59
02/01/1999,Single Detached,704,,,,,,,,,,
03/01/1999,All Others,385,,,,,,,,,,
03/01/1999,Total,1117,1276,7636,142,36,74,95,3513,2,1210,171
03/01/1999,Single Detached,732,,,,,,,,,,
04/01/1999,Total,1518,970,11480,202,106,68,255,5656,32,2457,216
04/01/1999,All Others,422,,,,,,,,,,
04/01/1999,Single Detached,1096,,,,,,,,,,
05/01/1999,All Others,267,,,,,,,,,,
05/01/1999,Total,1428,1368,13336,189,147,74,369,6784,65,2700,212
05/01/1999,Single Detached,1161,,,,,,,,,,
06/01/1999,All Others,886,,,,,,,,,,
06/01/1999,Single Detached,1324,,,,,,,,,,
06/01/1999,Total,2210,1169,13041,201,353,107,374,6202,48,2169,208
07/01/1999,All Others,667,,,,,,,,,,
07/01/1999,Single Detached,1302,,,,,,,,,,
07/01/1999,Total,1969,1424,11736,289,288,101,266,5475,69,1519,336
08/01/1999,Single Detached,1346,,,,,,,,,,
08/01/1999,Total,2438,1321,11657,197,196,122,149,5957,38,1007,232
08/01/1999,All Others,1092,,,,,,,,,,
09/01/1999,Total,1561,1403,11738,160,233,88,258,5740,32,1993,270
09/01/1999,Single Detached,1143,,,,,,,,,,
09/01/1999,All Others,418,,,,,,,,,,
10/01/1999,Single Detached,1109,,,,,,,,,,
10/01/1999,Total,1871,1094,11022,248,137,91,324,5492,39,1542,184
10/01/1999,All Others,762,,,,,,,,,,
11/01/1999,All Others,699,,,,,,,,,,
11/01/1999,Single Detached,1033,,,,,,,,,,
11/01/1999,Total,1732,1450,11822,116,197,116,278,6140,30,1648,115
12/01/1999,Total,1567,1268,10426,87,114,51,160,5504,14,1540,121
12/01/1999,All Others,498,,,,,,,,,,
12/01/1999,Single Detached,1069,,,,,,,,,,
01/01/2000,Total,1252,525,6722,63,147,49,181,3566,12,837,90
01/01/2000,All Others,387,,,,,,,,,,
01/01/2000,Single Detached,865,,,,,,,,,,
02/01/2000,Total,1220,992,7977,39,35,29,175,4558,9,845,75
02/01/2000,All Others,456,,,,,,,,,,
02/01/2000,Single Detached,764,,,,,,,,,,
03/01/2000,All Others,387,,,,,,,,,,
03/01/2000,Total,1323,702,8572,96,45,52,178,4496,17,1534,129
03/01/2000,Single Detached,936,,,,,,,,,,
04/01/2000,All Others,625,,,,,,,,,,
04/01/2000,Single Detached,1221,,,,,,,,,,
04/01/2000,Total,1846,1193,12629,140,120,80,200,6525,19,2351,155
05/01/2000,All Others,1183,,,,,,,,,,
05/01/2000,Single Detached,1255,,,,,,,,,,
05/01/2000,Total,2438,1264,12625,124,170,99,362,5367,51,2490,260
06/01/2000,All Others,627,,,,,,,,,,
06/01/2000,Total,2031,1102,11420,188,192,83,342,5276,50,1895,261
06/01/2000,Single Detached,1404,,,,,,,,,,
07/01/2000,Single Detached,1325,,,,,,,,,,
07/01/2000,All Others,607,,,,,,,,,,
07/01/2000,Total,1932,1125,13407,180,283,159,468,7365,45,1631,219
08/01/2000,Total,1914,867,11298,197,183,115,495,5705,54,1538,230
08/01/2000,All Others,750,,,,,,,,,,
08/01/2000,Single Detached,1164,,,,,,,,,,
09/01/2000,All Others,879,,,,,,,,,,
09/01/2000,Single Detached,1148,,,,,,,,,,
09/01/2000,Total,2027,1318,12438,137,365,102,162,6346,28,1804,149
10/01/2000,Single Detached,1083,,,,,,,,,,
10/01/2000,Total,1784,1549,12653,145,164,128,164,6821,64,1686,148
10/01/2000,All Others,701,,,,,,,,,,
11/01/2000,Single Detached,1063,,,,,,,,,,
11/01/2000,Total,2004,877,11720,97,214,78,159,6075,23,2065,128
11/01/2000,All Others,941,,,,,,,,,,
12/01/2000,Total,1735,839,9591,93,65,55,164,5323,17,1254,46
12/01/2000,All Others,741,,,,,,,,,,
12/01/2000,Single Detached,994,,,,,,,,,,
01/01/2001,Single Detached,849,,,,,,,,,,
01/01/2001,Total,1581,1191,8912,76,147,35,217,4602,16,960,87
01/01/2001,All Others,732,,,,,,,,,,
02/01/2001,Single Detached,894,,,,,,,,,,
02/01/2001,All Others,299,,,,,,,,,,
02/01/2001,Total,1193,949,7321,77,64,13,155,3712,3,1100,55
03/01/2001,Total,1318,806,8590,92,39,17,59,4655,11,1495,98
03/01/2001,All Others,422,,,,,,,,,,
03/01/2001,Single Detached,896,,,,,,,,,,
04/01/2001,Single Detached,1212,,,,,,,,,,
04/01/2001,All Others,892,,,,,,,,,,
04/01/2001,Total,2104,1368,13395,177,89,58,243,6473,22,2735,126
05/01/2001,Total,2257,1618,13592,129,153,131,171,6512,34,2467,120
05/01/2001,All Others,785,,,,,,,,,,
05/01/2001,Single Detached,1472,,,,,,,,,,
06/01/2001,All Others,709,,,,,,,,,,
06/01/2001,Single Detached,1696,,,,,,,,,,
06/01/2001,Total,2405,1633,14992,179,239,141,376,7463,25,2338,193
07/01/2001,Total,2176,1500,12009,255,283,158,399,5153,75,1765,245
07/01/2001,All Others,547,,,,,,,,,,
07/01/2001,Single Detached,1629,,,,,,,,,,
08/01/2001,Single Detached,1437,,,,,,,,,,
08/01/2001,Total,2205,1189,13286,160,239,135,319,7458,29,1443,109
08/01/2001,All Others,768,,,,,,,,,,
09/01/2001,Single Detached,1600,,,,,,,,,,
09/01/2001,All Others,631,,,,,,,,,,
09/01/2001,Total,2231,1487,12099,152,274,139,176,5885,45,1540,170
10/01/2001,Single Detached,1423,,,,,,,,,,
10/01/2001,All Others,1046,,,,,,,,,,
10/01/2001,Total,2469,1529,13011,125,306,105,156,6155,53,1796,317
11/01/2001,Total,2345,1376,13069,123,176,145,243,6519,49,1951,142
11/01/2001,Single Detached,1379,,,,,,,,,,
11/01/2001,All Others,966,,,,,,,,,,
12/01/2001,All Others,768,,,,,,,,,,
12/01/2001,Single Detached,1405,,,,,,,,,,
12/01/2001,Total,2173,1043,12004,88,191,103,253,5675,13,2351,114
01/01/2002,Total,1974,1310,11689,78,61,51,310,6087,3,1684,131
01/01/2002,Single Detached,1040,,,,,,,,,,
01/01/2002,All Others,934,,,,,,,,,,
02/01/2002,All Others,613,,,,,,,,,,
02/01/2002,Total,1911,1049,8983,92,45,32,122,4002,6,1604,120
02/01/2002,Single Detached,1298,,,,,,,,,,
03/01/2002,Total,2585,1300,11864,117,46,39,98,5291,15,2293,80
03/01/2002,All Others,1294,,,,,,,,,,
03/01/2002,Single Detached,1291,,,,,,,,,,
04/01/2002,Total,2669,1149,15319,153,186,113,206,6670,40,3952,181
04/01/2002,Single Detached,1774,,,,,,,,,,
04/01/2002,All Others,895,,,,,,,,,,
05/01/2002,All Others,1056,,,,,,,,,,
05/01/2002,Total,3149,1971,18369,215,249,245,361,8085,108,3772,214
05/01/2002,Single Detached,2093,,,,,,,,,,
06/01/2002,All Others,1356,,,,,,,,,,
06/01/2002,Total,3373,2159,17636,231,371,209,449,7171,46,3443,184
06/01/2002,Single Detached,2017,,,,,,,,,,
07/01/2002,All Others,643,,,,,,,,,,
07/01/2002,Single Detached,1664,,,,,,,,,,
07/01/2002,Total,2307,1833,16203,230,233,221,329,8065,126,2632,227
08/01/2002,Single Detached,1931,,,,,,,,,,
08/01/2002,Total,3211,2480,16919,213,220,120,411,7474,42,2541,207
08/01/2002,All Others,1280,,,,,,,,,,
09/01/2002,Single Detached,1847,,,,,,,,,,
09/01/2002,All Others,923,,,,,,,,,,
09/01/2002,Total,2770,1621,15054,341,288,160,342,6361,33,2761,377
10/01/2002,All Others,1559,,,,,,,,,,
10/01/2002,Total,3285,1828,17484,236,315,178,304,7919,56,3134,229
10/01/2002,Single Detached,1726,,,,,,,,,,
11/01/2002,Single Detached,1800,,,,,,,,,,
11/01/2002,Total,2984,2098,16518,161,448,110,350,7189,23,2987,168
11/01/2002,All Others,1184,,,,,,,,,,
12/01/2002,All Others,895,,,,,,,,,,
12/01/2002,Single Detached,1616,,,,,,,,,,
12/01/2002,Total,2511,1517,13088,100,186,72,439,5301,20,2709,233
01/01/2003,Single Detached,1378,,,,,,,,,,
01/01/2003,Total,1833,1181,9580,138,142,30,118,3802,21,2113,202
01/01/2003,All Others,455,,,,,,,,,,
02/01/2003,Single Detached,1439,,,,,,,,,,
02/01/2003,Total,2636,1533,13359,113,56,33,173,6778,9,1913,115
02/01/2003,All Others,1197,,,,,,,,,,
03/01/2003,All Others,1115,,,,,,,,,,
03/01/2003,Single Detached,1223,,,,,,,,,,
03/01/2003,Total,2338,1492,11605,107,46,23,293,4775,9,2323,199
04/01/2003,Single Detached,1628,,,,,,,,,,
04/01/2003,Total,2908,2197,16893,149,290,131,165,6523,23,4154,353
04/01/2003,All Others,1280,,,,,,,,,,
05/01/2003,All Others,1089,,,,,,,,,,
05/01/2003,Total,2739,1849,16802,200,292,258,232,6994,65,3960,213
05/01/2003,Single Detached,1650,,,,,,,,,,
06/01/2003,Single Detached,1800,,,,,,,,,,
06/01/2003,Total,2921,2051,17773,227,330,244,509,7554,101,3585,251
06/01/2003,All Others,1121,,,,,,,,,,
07/01/2003,Single Detached,1856,,,,,,,,,,
07/01/2003,Total,3103,2621,18374,227,453,206,453,7688,103,3277,243
07/01/2003,All Others,1247,,,,,,,,,,
08/01/2003,Single Detached,1657,,,,,,,,,,
08/01/2003,Total,3050,2331,18672,392,328,184,288,8081,38,3726,254
08/01/2003,All Others,1393,,,,,,,,,,
09/01/2003,All Others,1426,,,,,,,,,,
09/01/2003,Single Detached,1536,,,,,,,,,,
09/01/2003,Total,2962,2726,17772,287,275,169,255,7178,59,3632,229
10/01/2003,All Others,1198,,,,,,,,,,
10/01/2003,Single Detached,1484,,,,,,,,,,
10/01/2003,Total,2682,2812,20075,470,249,241,156,9280,52,3872,261
11/01/2003,Single Detached,1650,,,,,,,,,,
11/01/2003,All Others,955,,,,,,,,,,
11/01/2003,Total,2605,2122,16594,230,279,218,412,6623,37,3883,185
12/01/2003,All Others,955,,,,,,,,,,
12/01/2003,Total,2288,1805,14408,150,265,124,535,5655,36,3421,129
12/01/2003,Single Detached,1333,,,,,,,,,,
01/01/2004,Total,1985,2284,10177,96,67,62,141,3324,48,2015,155
01/01/2004,Single Detached,1325,,,,,,,,,,
01/01/2004,All Others,660,,,,,,,,,,
02/01/2004,Single Detached,1125,,,,,,,,,,
02/01/2004,All Others,1356,,,,,,,,,,
02/01/2004,Total,2481,1773,10980,160,35,92,68,3677,4,2624,66
03/01/2004,All Others,828,,,,,,,,,,
03/01/2004,Single Detached,1296,,,,,,,,,,
03/01/2004,Total,2124,2022,14326,149,37,41,250,5730,18,3773,182
04/01/2004,Single Detached,1688,,,,,,,,,,
04/01/2004,All Others,737,,,,,,,,,,
04/01/2004,Total,2425,3499,19804,219,179,147,192,7299,46,5528,270
05/01/2004,Total,2268,2856,20373,274,326,210,298,8141,78,5342,580
05/01/2004,All Others,671,,,,,,,,,,
05/01/2004,Single Detached,1597,,,,,,,,,,
06/01/2004,Single Detached,1854,,,,,,,,,,
06/01/2004,Total,3516,2653,19965,257,326,289,499,8002,116,4082,225
06/01/2004,All Others,1662,,,,,,,,,,
07/01/2004,All Others,714,,,,,,,,,,
07/01/2004,Total,2596,2478,17833,312,341,264,313,7439,72,3785,233
07/01/2004,Single Detached,1882,,,,,,,,,,
08/01/2004,All Others,960,,,,,,,,,,
08/01/2004,Total,2797,3264,20185,579,284,188,345,9060,48,3332,288
08/01/2004,Single Detached,1837,,,,,,,,,,
09/01/2004,Single Detached,1575,,,,,,,,,,
09/01/2004,Total,2895,2791,17768,253,294,204,349,7227,45,3384,326
09/01/2004,All Others,1320,,,,,,,,,,
10/01/2004,Single Detached,1675,,,,,,,,,,
10/01/2004,All Others,1547,,,,,,,,,,
10/01/2004,Total,3222,2104,18474,235,222,223,219,7810,49,4098,292
